L/R1,AR,cp
8.190,10.010,0.350
7.490,8.940,0.350
6.770,7.990,0.350
6.070,6.970,0.350
5.330,5.960,0.350
4.560,5.000,0.350
4.010,4.350,0.350
3.710,3.990,0.350
3.010,3.240,0.350
2.760,3.010,0.350
2.380,2.630,0.350
2.000,2.270,0.350
1.710,2.000,0.350
1.540,1.840,0.350
1.380,1.670,0.350
1.280,1.540,0.350
1.240,1.460,0.350
1.290,1.380,0.350
1.380,1.300,0.350
1.490,1.270,0.350
1.680,1.260,0.350
1.980,1.260,0.350
2.460,1.280,0.350
3.000,1.290,0.350
4.000,1.310,0.350
5.000,1.330,0.350
5.960,1.350,0.350
6.990,1.370,0.350
7.990,1.390,0.350
9.040,1.400,0.350
9.950,1.410,0.350
11.340,1.440,0.350
13.040,1.460,0.350
14.960,1.480,0.350
17.210,1.510,0.350
19.980,1.530,0.350
23.210,1.560,0.350
26.370,1.590,0.350
29.850,1.620,0.350
33.480,1.640,0.350
37.070,1.670,0.350
40.150,1.690,0.350
44.450,1.710,0.350
50.010,1.730,0.350
9.510,9.990,0.400
8.670,8.940,0.400
7.830,8.000,0.400
7.050,6.970,0.400
6.190,6.000,0.400
5.280,5.000,0.400
4.330,3.970,0.400
4.010,3.620,0.400
3.380,3.000,0.400
3.000,2.640,0.400
2.570,2.290,0.400
2.210,1.990,0.400
1.990,1.800,0.400
1.810,1.640,0.400
1.710,1.530,0.400
1.660,1.460,0.400
1.690,1.400,0.400
1.780,1.360,0.400
1.900,1.340,0.400
2.060,1.330,0.400
2.300,1.320,0.400
2.590,1.330,0.400
3.020,1.330,0.400
3.490,1.350,0.400
4.010,1.360,0.400
4.540,1.380,0.400
5.030,1.390,0.400
6.010,1.400,0.400
7.010,1.420,0.400
8.040,1.440,0.400
9.040,1.460,0.400
10.040,1.480,0.400
11.410,1.500,0.400
12.880,1.520,0.400
14.810,1.540,0.400
6.330,2.230,0.400
17.210,1.560,0.400
19.860,1.600,0.400
23.580,1.630,0.400
27.220,1.660,0.400
30.040,1.690,0.400
34.560,1.720,0.400
39.760,1.750,0.400
45.020,1.790,0.400
50.170,1.820,0.400
11.090,9.940,0.450
10.110,8.940,0.450
9.250,7.990,0.450
8.430,6.970,0.450
7.470,6.000,0.450
6.960,5.530,0.450
6.370,4.990,0.450
5.980,4.590,0.450
5.290,3.990,0.450
5.000,3.700,0.450
4.490,3.260,0.450
4.180,3.000,0.450
3.610,2.530,0.450
2.970,2.040,0.450
2.760,1.910,0.450
2.520,1.750,0.450
2.350,1.630,0.450
2.260,1.530,0.450
2.280,1.470,0.450
2.430,1.430,0.450
2.590,1.420,0.450
2.970,1.410,0.450
3.440,1.420,0.450
3.970,1.440,0.450
5.000,1.460,0.450
5.990,1.480,0.450
6.920,1.510,0.450
7.960,1.520,0.450
8.980,1.530,0.450
9.950,1.560,0.450
11.850,1.570,0.450
14.390,1.610,0.450
16.930,1.640,0.450
19.980,1.670,0.450
23.060,1.700,0.450
26.110,1.740,0.450
30.040,1.780,0.450
35.010,1.810,0.450
39.760,1.840,0.450
44.600,1.870,0.450
50.010,1.900,0.450
12.470,9.990,0.500
11.520,8.960,0.500
10.740,7.990,0.500
9.820,6.970,0.500
8.730,6.000,0.500
8.010,5.280,0.500
7.470,4.770,0.500
7.010,4.370,0.500
6.550,4.000,0.500
6.010,3.550,0.500
5.520,3.150,0.500
