L/R1,AR,cp
8.19,10.01,0.35
7.49,8.94,0.35
6.77,7.99,0.35
6.07,6.97,0.35
5.33,5.96,0.35
4.56,5.00,0.35
4.01,4.35,0.35
3.71,3.99,0.35
3.01,3.24,0.35
2.76,3.01,0.35
2.38,2.63,0.35
2.00,2.27,0.35
1.71,2.00,0.35
1.54,1.84,0.35
1.38,1.67,0.35
1.28,1.54,0.35
1.24,1.46,0.35
1.29,1.38,0.35
1.38,1.30,0.35
1.49,1.27,0.35
1.68,1.26,0.35
1.98,1.26,0.35
2.46,1.28,0.35
3.00,1.29,0.35
4.00,1.31,0.35
5.00,1.33,0.35
5.96,1.35,0.35
6.99,1.37,0.35
7.99,1.39,0.35
9.04,1.40,0.35
9.95,1.41,0.35
11.34,1.44,0.35
13.04,1.46,0.35
14.96,1.48,0.35
17.21,1.51,0.35
19.98,1.53,0.35
23.21,1.56,0.35
26.37,1.59,0.35
29.85,1.62,0.35
33.48,1.64,0.35
37.07,1.67,0.35
40.15,1.69,0.35
44.45,1.71,0.35
50.01,1.73,0.35
9.51,9.99,0.40
8.67,8.94,0.40
7.83,8.00,0.40
7.05,6.97,0.40
6.19,6.00,0.40
5.28,5.00,0.40
4.33,3.97,0.40
4.01,3.62,0.40
3.38,3.00,0.40
3.00,2.64,0.40
2.57,2.29,0.40
2.21,1.99,0.40
1.99,1.80,0.40
1.81,1.64,0.40
1.71,1.53,0.40
1.66,1.46,0.40
1.69,1.40,0.40
1.78,1.36,0.40
1.90,1.34,0.40
2.06,1.33,0.40
2.30,1.32,0.40
2.59,1.33,0.40
3.02,1.33,0.40
3.49,1.35,0.40
4.01,1.36,0.40
4.54,1.38,0.40
5.03,1.39,0.40
6.01,1.40,0.40
7.01,1.42,0.40
8.04,1.44,0.40
9.04,1.46,0.40
10.04,1.48,0.40
11.41,1.50,0.40
12.88,1.52,0.40
14.81,1.54,0.40
6.33,2.23,0.40
17.21,1.56,0.40
19.86,1.60,0.40
23.58,1.63,0.40
27.22,1.66,0.40
30.04,1.69,0.40
34.56,1.72,0.40
39.76,1.75,0.40
45.02,1.79,0.40
50.17,1.82,0.40
11.09,9.94,0.45
10.11,8.94,0.45
9.25,7.99,0.45
8.43,6.97,0.45
7.47,6.00,0.45
6.96,5.53,0.45
6.37,4.99,0.45
5.98,4.59,0.45
5.29,3.99,0.45
5.00,3.70,0.45
4.49,3.26,0.45
4.18,3.00,0.45
3.61,2.53,0.45
2.97,2.04,0.45
2.76,1.91,0.45
2.52,1.75,0.45
2.35,1.63,0.45
2.26,1.53,0.45
2.28,1.47,0.45
2.43,1.43,0.45
2.59,1.42,0.45
2.97,1.41,0.45
3.44,1.42,0.45
3.97,1.44,0.45
5.00,1.46,0.45
5.99,1.48,0.45
6.92,1.51,0.45
7.96,1.52,0.45
8.98,1.53,0.45
9.95,1.56,0.45
11.85,1.57,0.45
14.39,1.61,0.45
16.93,1.64,0.45
19.98,1.67,0.45
23.06,1.70,0.45
26.11,1.74,0.45
30.04,1.78,0.45
35.01,1.81,0.45
39.76,1.84,0.45
44.60,1.87,0.45
50.01,1.90,0.45
12.47,9.99,0.50
11.52,8.96,0.50
10.74,7.99,0.50
9.82,6.97,0.50
8.73,6.00,0.50
8.01,5.28,0.50
7.47,4.77,0.50
7.01,4.37,0.50
6.55,4.00,0.50
6.01,3.55,0.50
5.52,3.15,0.50
5.10,2.82,0.50
4.66,2.55,0.50
4.29,2.33,0.50
3.97,2.15,0.50
3.68,2.00,0.50
3.44,1.84,0.50
3.29,1.72,0.50
3.31,1.67,0.50
3.43,1.61,0.50
3.64,1.58,0.50
4.00,1.58,0.50
4.59,1.57,0.50
5.03,1.58,0.50
5.99,1.58,0.50
7.01,1.60,0.50
8.06,1.61,0.50
9.07,1.61,0.50
9.98,1.63,0.50
11.48,1.65,0.50
13.21,1.68,0.50
15.29,1.70,0.50
17.65,1.73,0.50
19.98,1.75,0.50
23.43,1.80,0.50
27.13,1.84,0.50
29.76,1.88,0.50
34.78,1.93,0.50
40.02,1.97,0.50
45.17,2.00,0.50
50.33,2.06,0.50
14.53,10.01,0.55
13.59,8.96,0.55
12.55,8.00,0.55
11.55,6.99,0.55
10.47,5.99,0.55
9.27,5.02,0.55
8.65,4.50,0.55
7.96,4.02,0.55
7.49,3.61,0.55
7.01,3.30,0.55
6.57,2.99,0.55
6.01,2.61,0.55
5.55,2.35,0.55
5.28,2.15,0.55
5.08,2.04,0.55
5.00,1.92,0.55
5.13,1.86,0.55
5.45,1.80,0.55
5.94,1.77,0.55
6.57,1.75,0.55
6.96,1.76,0.55
8.01,1.76,0.55
9.01,1.78,0.55
9.98,1.79,0.55
11.81,1.80,0.55
14.26,1.83,0.55
16.72,1.85,0.55
20.05,1.90,0.55
22.92,1.92,0.55
26.37,1.95,0.55
30.04,1.97,0.55
34.56,2.01,0.55
39.76,2.07,0.55
44.74,2.11,0.55
50.17,2.15,0.55
16.67,9.99,0.60
15.74,8.94,0.60
14.67,8.00,0.60
13.55,7.02,0.60
12.31,5.99,0.60
11.05,5.00,0.60
9.95,4.27,0.60
9.42,3.86,0.60
8.98,3.60,0.60
8.48,3.27,0.60
8.06,3.01,0.60
7.69,2.74,0.60
7.33,2.55,0.60
7.12,2.34,0.60
6.94,2.18,0.60
7.28,2.08,0.60
7.76,2.02,0.60
8.38,2.00,0.60
9.19,2.00,0.60
10.14,2.00,0.60
11.70,2.02,0.60
13.68,2.02,0.60
16.09,2.04,0.60
19.98,2.09,0.60
9.22,3.23,0.60
24.58,2.13,0.60
30.04,2.18,0.60
34.45,2.22,0.60
40.40,2.27,0.60
45.17,2.32,0.60
50.33,2.37,0.60
18.28,9.92,0.65
17.10,8.98,0.65
16.09,8.00,0.65
14.91,6.99,0.65
13.68,5.96,0.65
12.47,5.01,0.65
11.78,4.45,0.65
11.12,3.99,0.65
10.47,3.59,0.65
9.98,3.26,0.65
9.54,3.01,0.65
9.19,2.77,0.65
9.01,2.66,0.65
9.07,2.53,0.65
9.54,2.41,0.65
10.17,2.33,0.65
11.26,2.30,0.65
12.75,2.30,0.65
14.72,2.28,0.65
16.77,2.30,0.65
19.98,2.32,0.65
22.99,2.35,0.65
26.37,2.39,0.65
30.04,2.43,0.65
34.78,2.50,0.65
40.27,2.58,0.65
44.88,2.67,0.65
50.33,2.74,0.65
21.03,9.97,0.70
19.98,9.17,0.70
18.75,8.23,0.70
17.59,7.44,0.70
16.30,6.52,0.70
15.05,5.72,0.70
14.17,5.09,0.70
13.46,4.63,0.70
12.67,4.08,0.70
12.08,3.64,0.70
11.74,3.36,0.70
11.63,3.13,0.70
11.85,2.94,0.70
12.51,2.84,0.70
13.59,2.74,0.70
14.86,2.72,0.70
16.72,2.69,0.70
19.17,2.71,0.70
22.70,2.76,0.70
26.20,2.81,0.70
29.95,2.86,0.70
35.01,2.96,0.70
40.02,3.11,0.70
44.60,3.21,0.70
50.33,3.34,0.70
24.66,9.99,0.75
22.99,8.92,0.75
21.50,7.97,0.75
19.98,7.15,0.75
18.57,6.36,0.75
17.37,5.65,0.75
16.35,4.99,0.75
15.89,4.59,0.75
15.99,4.21,0.75
16.51,3.89,0.75
17.82,3.67,0.75
19.17,3.53,0.75
21.57,3.46,0.75
24.50,3.47,0.75
27.57,3.52,0.75
31.61,3.63,0.75
36.03,3.79,0.75
40.79,3.97,0.75
45.46,4.12,0.75
50.01,4.27,0.75
33.27,9.99,0.80
31.61,9.00,0.80
30.33,8.23,0.80
29.19,7.57,0.80
28.46,7.10,0.80
27.57,6.61,0.80
27.31,6.14,0.80
28.28,5.80,0.80
29.48,5.53,0.80
30.82,5.37,0.80
33.80,5.41,0.80
37.79,5.46,0.80
40.27,5.53,0.80
43.47,5.73,0.80
46.33,5.90,0.80
50.01,6.15,0.80
